level,seed,avg_wait_per_vehicle,max_lane_wait,emergency_time,throughput
low,0,220.4437086092715,86,571,755
low,1,1042.4854166666667,661,683,480
low,2,192.33923303834808,80,538,678
low,3,2.7552870090634443,0,585,662
low,4,165.02225312934632,80,462,719
medium,0,207.5147410358566,143,161,1255
medium,1,149.08112324492978,89,133,1282
medium,2,144.46517027863777,84,215,1292
medium,3,145.52618855761483,99,157,1241
medium,4,152.61141516810008,111,150,1279
high,0,10.282360024081878,9,49,1661
high,1,7.195639006662629,7,33,1651
high,2,12.907018596280745,9,38,1667
high,3,14.322639225181598,9,41,1652
high,4,10.7046818727491,8,37,1666
