episode,traffic_level,reward,avg_wait,max_lane_wait,emergency_time,throughput,epsilon
1,low,-8599.001738936668,377.0,108,434,722,0.05213536498561189
2,medium,2561.0561023167807,13.0,4,317,1306,0.05
3,medium,1619.7258592839075,18.8,28,278,1341,0.05
4,high,-7160.914401173784,5.337209302325581,128,151,1420,0.05
5,medium,3560.787582116894,4.6,8,335,1293,0.05
6,low,1940.671407638418,0,0,644,717,0.05
7,low,2003.9655363399684,3.0,2,584,714,0.05
8,low,1490.7072571909664,2.5,2,655,722,0.05
9,medium,2693.1626675097514,5.3,39,236,1268,0.05
10,low,1633.878137678616,0,1,615,655,0.05
11,medium,3395.6561506233575,0,1,246,1269,0.05
12,low,1287.883844841017,0,3,648,750,0.05
13,high,-11254.493305289545,7.76530612244898,224,125,1288,0.05
14,low,1620.6896971315632,2.0,1,555,710,0.05
15,low,1147.0663584608687,4.0,2,653,702,0.05
16,medium,3216.96802835604,2.75,4,310,1250,0.05
17,medium,3358.495450200796,1.8,6,260,1310,0.05
18,low,-12790.086920549182,45.666666666666664,216,442,723,0.05
19,low,882.4702392629088,15.25,20,530,714,0.05
20,high,1107.9792370545108,1.3404255319148937,44,70,1607,0.05
21,medium,1134.6055313918719,36.333333333333336,32,282,1278,0.05
22,low,1294.6748581323584,27.0,8,512,766,0.05
23,low,1149.887749004296,0,5,514,697,0.05
24,medium,1340.2692433260866,19.875,42,314,1238,0.05
25,low,748.6665714614862,27.5,15,552,702,0.05
26,low,417.32474558625495,12.5,15,535,680,0.05
27,high,416.6921208367154,1.7291666666666667,49,68,1586,0.05
28,medium,2662.042708637294,77.0,22,207,1302,0.05
29,low,656.7705253950169,0,31,510,722,0.05
30,low,100.13959578762139,0,31,558,714,0.05
31,high,-871.376696471491,2.011111111111111,54,60,1580,0.05
32,high,-2112.4093741950405,2.4285714285714284,63,77,1572,0.05
33,low,719.0884820745595,22.333333333333332,20,455,761,0.05
34,low,30.506454099224253,43.5,26,524,722,0.05
35,low,67.04641082191988,56.0,33,571,711,0.05
36,low,251.1827991689299,80.0,22,520,718,0.05
37,low,419.4213733215132,0,39,452,740,0.05
